Photo file Name;Date;Time;Rotation;Latitude;Longitude;X;Y;Position Accuracy;Altitude;Datum;Capture Mode Details;Project Name;Photo Description;Watermark;Tilt;Roll;Link
SchaGaDu-2024-04-25-14-34-59-Pila.jpg;25.04.2024;14:34:59;321;46.297824;8.041923;2'646'483.442;1'127'557.622;±57m;1437 m;WGS-84;Bearing: 321° NW;SchaGaDu;IM-Piz;;1.6°;3.3°;C:\Users\luca.pizzetti\Downloads\SchaGaDu-2024-04-25\SchaGaDu-2024-04-25-14-34-59-Pila.jpg
SchaGaDu-2024-04-25-14-35-18-Pila.jpg;25.04.2024;14:35:18;5;46.297803;8.04182;2'646'475.523;1'127'555.226;±3m;1444 m;WGS-84;Bearing: 5° N;SchaGaDu;IM-Piz;;-12.4°;-3.6°;C:\Users\luca.pizzetti\Downloads\SchaGaDu-2024-04-25\SchaGaDu-2024-04-25-14-35-18-Pila.jpg
SchaGaDu-2024-04-25-14-36-34-Pila.jpg;25.04.2024;14:36:34;319;46.297845;8.041626;2'646'460.540;1'127'559.780;±3m;1447 m;WGS-84;Bearing: 319° NW;SchaGaDu;IM-Piz;;16.7°;1.2°;C:\Users\luca.pizzetti\Downloads\SchaGaDu-2024-04-25\SchaGaDu-2024-04-25-14-36-34-Pila.jpg
SchaGaDu-2024-04-25-14-38-23-Pila.jpg;25.04.2024;14:38:23;281;46.297948;8.040589;2'646'380.552;1'127'570.617;±3m;1445 m;WGS-84;Bearing: 281° W;SchaGaDu;IM-Piz;;11.5°;9.2°;C:\Users\luca.pizzetti\Downloads\SchaGaDu-2024-04-25\SchaGaDu-2024-04-25-14-38-23-Pila.jpg
SchaGaDu-2024-04-25-14-40-06-Pila.jpg;25.04.2024;14:40:06;259;46.29801;8.040554;2'646'377.802;1'127'577.488;±11m;1448 m;WGS-84;Bearing: 259° W;SchaGaDu;IM-Piz;;-31.9°;-0.6°;C:\Users\luca.pizzetti\Downloads\SchaGaDu-2024-04-25\SchaGaDu-2024-04-25-14-40-06-Pila.jpg
SchaGaDu-2024-04-25-14-40-44-Pila.jpg;25.04.2024;14:40:44;353;46.29805;8.040433;2'646'368.445;1'127'581.863;±5m;1443 m;WGS-84;Bearing: 353° N;SchaGaDu;IM-Piz;;-15.5°;0.1°;C:\Users\luca.pizzetti\Downloads\SchaGaDu-2024-04-25\SchaGaDu-2024-04-25-14-40-44-Pila.jpg
SchaGaDu-2024-04-25-14-42-11-Pila.jpg;25.04.2024;14:42:11;334;46.298024;8.040382;2'646'364.538;1'127'578.943;±44m;1442 m;WGS-84;Bearing: 334° NW;SchaGaDu;IM-Piz;;37.1°;-1.8°;C:\Users\luca.pizzetti\Downloads\SchaGaDu-2024-04-25\SchaGaDu-2024-04-25-14-42-11-Pila.jpg
SchaGaDu-2024-04-25-14-42-26-Pila.jpg;25.04.2024;14:42:26;41;46.298059;8.040391;2'646'365.201;1'127'582.839;±3m;1437 m;WGS-84;Bearing: 41° NE;SchaGaDu;IM-Piz;;7.0°;1.4°;C:\Users\luca.pizzetti\Downloads\SchaGaDu-2024-04-25\SchaGaDu-2024-04-25-14-42-26-Pila.jpg
SchaGaDu-2024-04-25-14-45-28-Pila.jpg;25.04.2024;14:45:28;347;46.298063;8.039793;2'646'319.122;1'127'582.931;±4m;1435 m;WGS-84;Bearing: 347° NW;SchaGaDu;IM-Piz;;-11.6°;-4.6°;C:\Users\luca.pizzetti\Downloads\SchaGaDu-2024-04-25\SchaGaDu-2024-04-25-14-45-28-Pila.jpg
SchaGaDu-2024-04-25-14-49-05-Pila.jpg;25.04.2024;14:49:05;351;46.297862;8.03827;2'646'201.946;1'127'559.690;±3m;1429 m;WGS-84;Bearing: 351° N;SchaGaDu;IM-Piz;;5.4°;-1.4°;C:\Users\luca.pizzetti\Downloads\SchaGaDu-2024-04-25\SchaGaDu-2024-04-25-14-49-05-Pila.jpg
SchaGaDu-2024-04-25-14-52-14-Pila.jpg;25.04.2024;14:52:14;334;46.297817;8.037817;2'646'167.081;1'127'554.421;±6m;1425 m;WGS-84;Bearing: 334° NW;SchaGaDu;IM-Piz;;-12.0°;-1.8°;C:\Users\luca.pizzetti\Downloads\SchaGaDu-2024-04-25\SchaGaDu-2024-04-25-14-52-14-Pila.jpg
SchaGaDu-2024-04-25-14-55-22-Pila.jpg;25.04.2024;14:55:22;292;46.297796;8.036862;2'646'093.516;1'127'551.526;±21m;1415 m;WGS-84;Bearing: 292° W;SchaGaDu;IM-Piz;;-12.4°;0.7°;C:\Users\luca.pizzetti\Downloads\SchaGaDu-2024-04-25\SchaGaDu-2024-04-25-14-55-22-Pila.jpg
